ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000",,
,,,,,,,,,,,,,,,,,,,,,,"4.727860000","4.727860000",,
,,,,,,,,,,,,,,,,,,,,,,"7.408716000","2.680856000",,
,,,,,,,,,,,,,,,,,,,,,,"9.414824000","2.006108000",,
,,,,,,,,,,,,,,,,,,,,,,"14.166902000","4.752078000",,
,,,,,,,,,,,,,,,,,,,,,,"18.861723000","4.694821000",,
,,,,,,,,,,,,,,,,,,,,,,"23.651326000","4.789603000",,
,,,,,,,,,,,,,,,,,,,,,,"28.338642000","4.687316000",,
,,,,,,,,,,,,,,,,,,,,,,"32.999033000","4.660391000",,
,,,,,,,,,,,,,,,,,,,,,,"37.741737000","4.742704000",,
,,,,,,,,,,,,,,,,,,,,,,"42.440142000","4.698405000",,
,,,,,,,,,,,,,,,,,,,,,,"47.171922000","4.731780000",,
,,,,,,,,,,,,,,,,,,,,,,"51.878163000","4.706241000",,
,,,,,,,,,,,,,,,,,,,,,,"56.607330000","4.729167000",,
,,,,,,,,,,,,,,,,,,,,,,"61.338359000","4.731029000",,
,,,,,,,,,,,,,,,,,,,,,,"66.029557000","4.691198000",,
,,,,,,,,,,,,,,,,,,,,,,"70.749846000","4.720289000",,
,,,,,,,,,,,,,,,,,,,,,,"75.517011000","4.767165000",,
,,,,,,,,,,,,,,,,,,,,,,"80.251487000","4.734476000",,
,,,,,,,,,,,,,,,,,,,,,,"85.009528000","4.758041000",,
,,,,,,,,,,,,,,,,,,,,,,"89.740972000","4.731444000",,
,,,,,,,,,,,,,,,,,,,,,,"94.504406000","4.763434000",,
,,,,,,,,,,,,,,,,,,,,,,"99.235742000","4.731336000",,
